,model,accuracy,precision,recall,f1,roc_auc
0,XGBClassifier,0.9656869912755276,0.30434782608695654,0.010071942446043165,0.01949860724233983,0.5046323792545018
1,LogisticRegression,0.6175366769020812,0.050979407332998494,0.5841726618705037,0.09377526273241713,0.6014395748056988
