,model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
0,XGBClassifier,7.029221725463867,0.0791961669921875,0.9654711318349685,0.17710084033613444,0.0049344729344729344,0.009567764289526302,0.5952376731516946
1,LogisticRegression,6.309654092788696,0.11640291213989258,0.6188874175653055,0.04722002999319392,0.5345071225071225,0.08677011911825247,0.6084155613377111
